t,secure_bps,violations,k_min,k_mean,q_total,aos_mean,aos_max,rekey
0,245000000.0,0,2334375.0,2660980.902777778,0,0.7964987229967943,0.8563935128191404,0
1,245000000.0,0,2143750.0,2796961.8055555555,0,1.8051493692225913,1.93250961650542,0
2,245000000.0,0,1953125.0,2932942.7083333335,0,2.8185597193609215,3.0234759802980875,0
3,245000000.0,0,1762500.0,3068923.611111111,0,3.837977904954242,4.134108307343351,0
4,245000000.0,0,1571875.0,3204904.513888889,0,4.865296786758442,5.271556862433442,0
5,245000000.0,0,1381250.0,3340885.4166666665,0,5.903491764665019,6.446916259721469,0
6,245000000.0,0,1190625.0,3476866.3194444445,0,6.9574802016480195,7.678380362949754,0
7,245000000.0,0,1000000.0,3612847.222222222,0,8.035964152958949,8.998001998001998,0
8,245000000.0,0,809375.0,3748828.125,0,9.155875202702008,10.467993213018664,0
9,245000000.0,0,618750.0,3886374.1189912325,0,8.718167289562318,12.227107704719645,0
10,245000000.0,0,428125.0,4025877.2256548605,0,8.993542756509504,14.66064666472473,0
11,245000000.0,0,237500.0,4165380.3323184857,0,10.647740637283134,19.38574423480084,0
12,245000000.0,0,46875.0,4210544.197568262,0,18.579616640297857,53.775456919060055,2
13,208200000.0,1,0.0,4220887.201980146,36800000,34.26182850233614,133.0,2
14,196200000.0,1,0.0,4235136.456392028,85600000,34.47927350563154,134.0,2
15,196200000.0,1,0.0,4249385.710803911,134400000,34.863150370908784,135.0,2
16,196200000.0,1,0.0,4264131.126560491,183200000,32.43337056485477,136.0,2
17,196200000.0,1,0.0,4278876.54231707,232000000,32.791069418557825,137.0,2
18,196200000.0,1,0.0,4293621.95807365,280800000,33.18909958711136,138.0,2
19,196200000.0,1,0.0,4308367.37383023,329600000,33.61548641204882,139.0,2
20,196200000.0,1,0.0,4323208.386667534,378400000,34.06254594153356,140.0,2
21,196200000.0,1,0.0,4336361.179591495,427200000,34.52565903632672,141.0,2
22,196200000.0,1,0.0,4347920.239140629,476000000,35.00121946728106,142.0,2
23,196200000.0,1,0.0,4357287.458411984,524800000,35.48683628352255,143.0,2
24,196200000.0,1,0.0,4366003.636016674,573600000,35.98020335854782,144.0,2
25,196200000.0,1,0.0,4374719.813621363,622400000,36.479741864337456,145.0,2
26,196200000.0,1,0.0,4383435.991226051,671200000,32.257105994711544,146.0,2
27,196200000.0,1,0.0,4390260.2702070065,720000000,32.58469897581021,147.0,2
28,196200000.0,1,0.0,4395212.742139347,768800000,32.916379367590515,148.0,2
29,196200000.0,1,0.0,4399374.510725035,817600000,33.25125594635389,149.0,2
30,196200000.0,1,0.0,4403536.279310722,866400000,33.58873802837207,150.0,2
31,196200000.0,1,0.0,4407704.90502683,915200000,33.92846950030715,151.0,2
32,196200000.0,1,0.0,4411873.53074294,964000000,34.27016626512537,152.0,2
33,196200000.0,1,0.0,4416042.156459048,1012800000,34.61358649176181,153.0,2
34,196200000.0,1,0.0,4420210.782175157,1061600000,34.958526801946114,154.0,2
35,196200000.0,1,0.0,4424379.407891265,1110400000,35.304814900886896,155.0,2
36,196200000.0,1,0.0,4428548.033607374,1159200000,35.65230384145435,156.0,2
37,196200000.0,1,0.0,4432716.659323483,1208000000,36.00086751437211,157.0,2
38,196200000.0,1,0.0,4437146.011786302,1256800000,29.441306160024087,158.0,2
39,196200000.0,1,0.0,4441575.3642491205,1305600000,27.896387075428603,159.0,2
40,196200000.0,1,0.0,4446004.716711939,1354400000,25.105684501882426,160.0,2
41,196200000.0,1,0.0,4449838.554331338,1403200000,23.757503361426686,161.0,2
42,196200000.0,1,0.0,4452613.557672653,1452000000,23.004964197304872,162.0,2
43,196200000.0,1,0.0,4455388.561013968,1500800000,22.55555042200067,163.0,1
44,196200000.0,1,0.0,4458163.564355282,1549600000,22.281496934744098,164.0,1
45,196200000.0,1,0.0,4460938.567696597,1598400000,22.118062691653982,165.0,1
46,196200000.0,1,0.0,4463713.579784419,1647200000,22.028929223466346,166.0,1
47,196200000.0,1,0.0,4466488.591872241,1696000000,21.992140889530138,167.0,1
48,196200000.0,1,0.0,4468237.393115352,1744800000,21.99392426337531,168.0,1
49,196200000.0,1,0.0,4469502.761327605,1793600000,22.024701244479484,169.0,1
50,196200000.0,1,0.0,4470768.129539858,1842400000,22.077785702269626,170.0,1
51,196200000.0,1,0.0,4472033.49775211,1891200000,22.14847955208493,171.0,1
