t,secure_bps,violations,k_min,k_mean,q_total,aos_mean,aos_max,rekey,q_sumsq,z_l1,z_sumsq,z_max,lyapunov,key_inflow,key_overflow,cg_iters,cg_columns,cg_converged,obj_lp,obj_greedy,key_blocked_edges
0,245000000.0,0,2109375.0,2425672.7430555555,0,0.8678816811621571,0.9476988686844755,0,0.0,571875.0,109013671875.0,190625.0,10901367187500.0,7200000.0,0.0,0,5,1,0.0,1.5601026095561776e+16,0
1,245000000.0,0,1796875.0,2351345.486111111,0,1.9288428524780747,2.1124243899047483,0,0.0,728125.0,192998046875.0,346875.0,19299804687500.0,7200000.0,0.0,0,5,1,0.0,1.5589178731719426e+16,0
2,245000000.0,0,1718750.0,2281358.5069444445,0,2.9941126922112806,3.1629597325192615,0,0.0,718750.0,130585937500.0,190625.0,13058593750000.0,7200000.0,0.0,0,5,1,0.0,1.5593434543936036e+16,0
3,245000000.0,0,1718750.0,2200520.8333333335,0,4.023049426344968,4.162959732519262,0,0.0,762500.0,145351562500.0,190625.0,14535156250000.0,7200000.0,0.0,0,5,1,0.0,1.5575474641472196e+16,0
4,245000000.0,0,1328125.0,2130533.8541701958,0,4.569181294180186,5.504749365183861,0,0.0,571875.0,109013671875.0,190625.0,10901367187500.0,7200000.000127056,4.200148514442925e-10,0,5,1,0.0,1.5588024841353556e+16,0
5,245000000.0,0,1328125.0,2088324.6527848365,0,5.450938076531822,6.504749365183861,0,0.0,571875.0,109013671875.0,190625.0,10901367187500.0,7200000.000127056,4.200148514442925e-10,0,5,1,0.0,1.5576848921849226e+16,0
6,245000000.0,0,1337500.0,2068337.6736216992,0,6.336092894035174,7.494209936496078,0,0.0,571875.0,109013671875.0,190625.0,10901367187500.0,7200000.000127056,4.200148514442925e-10,0,5,1,0.0,1.5582249426865576e+16,0
7,245000000.0,0,1337500.0,2051605.902791895,0,7.05479941542193,8.494209936496077,0,0.0,571875.0,109013671875.0,190625.0,10901367187500.0,7200000.000127056,4.200148514442925e-10,0,5,1,0.0,1.5571256752341758e+16,0
8,245000000.0,0,1346875.0,2043148.1988987902,0,7.717907916944752,9.483817119540017,0,0.0,571875.0,109013671875.0,190625.0,10901367187500.0,7200210.159848226,1.9659296413010452e-10,0,5,1,0.0,1.5576904638665538e+16,0
9,245000000.0,0,1346875.0,2034690.4950056854,0,8.537437283669467,10.483817119540017,0,0.0,571875.0,109013671875.0,190625.0,10901367187500.0,7200210.159848226,1.9659296413010452e-10,0,5,1,0.0,1.5566070278677304e+16,0
10,245000000.0,0,1356250.0,2026302.7800093847,0,7.55255117164323,11.473567876220299,0,0.0,571245.099928762,108773919246.94025,190625.0,10877391924694.025,7202729.760133179,4.711466772278072e-10,0,5,1,0.0,1.5578043336203072e+16,0
11,245000000.0,0,1356250.0,2017915.065013084,0,8.1942473049601,12.473567876220299,0,0.0,571245.099928762,108773919246.94025,190625.0,10877391924694.025,7202729.760133179,4.711466772278072e-10,0,5,1,0.0,1.5567828455453934e+16,0
12,245000000.0,0,1289325.1999373385,1998676.655572339,0,7.19884471915757,13.463459251806457,0,0.0,761765.0200046487,145071753671.7673,190625.0,14507175367176.73,7202729.760133179,4.711466772278072e-10,0,5,1,0.0,1.557464485973936e+16,0
13,245000000.0,0,1365625.0,1995848.4985168981,0,7.133553487775824,14.463459251806457,0,0.0,571245.099928762,108773919246.94025,190625.0,10877391924694.025,7202873.846004132,5.626645815937081e-10,0,5,1,0.0,1.5568498311545624e+16,0
14,245000000.0,0,1298805.2798614516,1982169.6470170128,0,5.916575768391326,15.453488372093023,0,0.0,761765.0200046487,145071753671.7673,190625.0,14507175367176.73,7202873.846004132,5.626645815937081e-10,0,5,1,0.0,1.5576583070521852e+16,0
15,245000000.0,0,1375000.0,1986982.9671041544,0,8.064472947343894,16.453488372093023,0,0.0,571245.099928762,108773919246.94025,190625.0,10877391924694.025,7202873.846004132,5.626645815937081e-10,0,5,1,0.0,1.5565331368027234e+16,0
16,245000000.0,0,1308285.3597855647,1984415.22671538,0,6.608891542189286,17.443652440674907,0,0.0,761765.0200046487,145071753671.7673,190625.0,14507175367176.73,7202873.846004132,5.626645815937081e-10,0,5,1,0.0,1.557434505121679e+16,0
17,245000000.0,0,1384375.0,1998253.736326606,0,8.966715490999333,18.443652440674907,0,0.0,571245.099928762,108773919246.94025,190625.0,10877391924694.025,7202873.846004132,5.626645815937081e-10,0,5,1,0.0,1.5562206897201744e+16,0
18,245000000.0,0,1317765.4397096778,2011554.1753120013,0,7.246864849993206,19.433948736332677,0,0.0,761765.0200046487,145071753671.7673,190625.0,14507175367176.73,7202873.846004132,5.626645815937081e-10,0,5,1,0.0,1.5572252286572452e+16,0
19,245000000.0,0,1393750.0,2033920.9571107652,0,9.820027676714462,20.433948736332677,0,0.0,571245.099928762,108773919246.94025,190625.0,10877391924694.025,7202873.846004132,5.626645815937081e-10,0,5,1,0.0,1.5559141341268426e+16,0
20,245000000.0,0,1327245.519633791,2042464.3278331016,0,7.864041116200787,21.424374610522566,0,0.0,761765.0200046487,145071753671.7673,190625.0,14507175367176.73,7202873.846004132,5.626645815937081e-10,0,5,1,0.0,1.55701865630598e+16,0
21,245000000.0,0,1403125.0,2061858.3929998833,0,10.68070514044931,22.424374610522566,0,0.0,571245.099928762,108773919246.94025,190625.0,10877391924694.025,7202873.846004132,5.626645815937081e-10,0,5,1,0.0,1.5556066291959932e+16,0
22,245000000.0,0,1336725.599557904,2070401.7637222202,0,8.488805761791417,23.414927484966395,0,0.0,761765.0200046487,145071753671.7673,190625.0,14507175367176.73,7202873.846004132,5.626645815937081e-10,0,5,1,0.0,1.5568110157112078e+16,0
23,245000000.0,0,1412500.0,2089795.8288890016,0,11.548534588329982,24.414927484966395,0,0.0,571245.099928762,108773919246.94025,190625.0,10877391924694.025,7202873.846004132,5.626645815937081e-10,0,5,1,0.0,1.5552981919329366e+16,0
24,245000000.0,0,1346205.6794820172,2098339.1996113383,0,9.119306648889065,25.40560484933673,0,0.0,761765.0200046487,145071753671.7673,190625.0,14507175367176.73,7202873.846004132,4.711466772278072e-10,0,5,1,0.0,1.5566025482556946e+16,0
25,245000000.0,0,1421875.0,2119541.911874471,0,12.42022360098007,26.40560484933673,0,0.0,560782.1776155047,104907584049.36511,190625.0,10490758404936.512,7267985.141472774,4.4579451241588686e-10,0,5,1,0.0,1.5549894424868402e+16,0
26,245000000.0,0,1355685.7594061303,2129893.929693159,0,9.75141439536698,27.39640425903299,0,0.0,751302.0976913915,141205418474.19217,190625.0,14120541847419.217,7267985.141472774,4.4579451241588686e-10,0,5,1,0.0,1.5563942375243212e+16,0
27,245000000.0,0,1328125.0,2140245.9475118476,0,5.540746636795671,28.39640425903299,0,0.0,907657.1776155047,225229849674.3651,346875.0,22522984967436.51,7267985.141472774,4.4579451241588686e-10,0,5,1,0.0,1.5561938831191896e+16,0
28,245000000.0,0,1366335.0917485543,2151360.117036222,0,7.527138720137477,29.387323333044307,0,0.0,895838.59285477,161889109162.57648,190625.0,16188910916257.648,7272662.151146016,2.4920154828578234e-10,0,5,1,0.0,1.5566052621827528e+16,0
29,245000000.0,0,1440625.0,2172692.7462347224,0,8.891976411188118,30.387323333044307,0,0.0,663907.1776155047,115542349674.36511,190625.0,11554234967436.512,7272662.151146016,2.4920154828578234e-10,0,5,1,0.0,1.5548587969149092e+16,0
30,245000000.0,0,1378153.676509289,2183174.680988779,0,6.032329548016857,31.378359751895246,0,0.0,808338.59285477,143842234162.57648,190625.0,14384223416257.648,7272662.151146016,2.4920154828578234e-10,0,5,1,0.0,1.5566275451936516e+16,0
31,245000000.0,0,1116510.4517314667,2193656.6157428343,0,6.188173564352506,32.378359751895246,0,0.0,967032.1776155047,269946646549.3651,406250.0,26994664654936.51,7272662.151146016,2.4920154828578234e-10,0,5,1,0.0,1.555244148041223e+16,0
32,245000000.0,0,1316510.4517314667,2205353.828274668,0,8.402222290516228,33.36951125567063,0,0.0,955213.59285477,182855906037.57648,206250.0,18285590603757.65,7272662.151146016,2.4920154828578234e-10,0,5,1,0.0,1.5562360828035356e+16,0
33,245000000.0,0,1459375.0,2228099.0384376133,0,11.960525461757696,34.36951125567063,0,0.0,721506.4489355067,188296573888.16144,346875.0,18829657388816.145,7279765.0658660075,4.092726157978177e-10,0,5,1,0.0,1.5542414186803858e+16,0
34,245000000.0,0,1401790.8460307587,2243795.9418866015,0,6.651772823821364,35.360775642116,0,0.0,894062.8641747722,161254661501.3728,190625.0,16125466150137.281,7279765.0658660075,4.092726157978177e-10,0,5,1,0.0,1.5566403883699342e+16,0
35,245000000.0,0,1468750.0,2258450.0126762143,0,6.771098636179062,36.360775642116,0,0.0,905881.4489355067,224595402013.16144,346875.0,22459540201316.145,7279765.0658660075,4.092726157978177e-10,0,5,1,0.0,1.5556168567321136e+16,0
36,245000000.0,0,1413609.4307914935,2269302.2527401275,0,9.30191717990066,37.352150764810276,0,0.0,894062.8641747722,161254661501.3728,190625.0,16125466150137.281,7279765.0658660075,4.092726157978177e-10,0,5,1,0.0,1.5558620242680942e+16,0
37,245000000.0,0,1478125.0,2295557.0989707336,0,10.97167916677811,38.352150764810276,0,0.0,662131.4489355067,114907902013.16144,190625.0,11490790201316.145,7289973.567116953,6.257323548197746e-10,0,5,1,0.0,1.553881045091745e+16,0
