t,secure_bps,violations,k_min,k_mean,q_total,aos_mean,aos_max,rekey
0,245000000.0,0,2334375.0,2650672.7430555555,0,0.790524255815054,0.8563935128191404,0
1,245000000.0,0,2143750.0,2776345.486111111,0,1.7926687303078261,1.93250961650542,0
2,245000000.0,0,1953125.0,2902018.2291666665,0,2.7988313713404955,3.0234759802980875,0
3,245000000.0,0,1762500.0,3027690.972222222,0,3.8099672250225276,4.134108307343351,0
4,245000000.0,0,1571875.0,3153363.715277778,0,4.827541065272918,5.271556862433442,0
5,245000000.0,0,1381250.0,3279036.4583333335,0,5.853870906830587,6.446916259721469,0
6,245000000.0,0,1190625.0,3404709.201388889,0,6.89280287273898,7.678380362949754,0
7,245000000.0,0,1000000.0,3530381.9444444445,0,7.951158727409575,8.998001998001998,0
8,245000000.0,0,809375.0,3656054.6875,0,9.042227977573367,10.467993213018664,0
9,245000000.0,0,618750.0,3783292.5217690105,0,8.909604866184626,12.227107704719645,0
10,245000000.0,0,428125.0,3912251.6112622065,0,9.338928210758352,14.66064666472473,0
11,245000000.0,0,237500.0,4041210.7007554015,0,10.856910455326329,19.38574423480084,0
12,245000000.0,0,46875.0,4086777.897363467,0,17.388292290290476,53.775456919060055,2
13,208200000.0,1,0.0,4103420.446961325,36800000,30.095679018310452,133.0,2
14,196200000.0,1,0.0,4123969.2465591845,85600000,30.425802755347096,134.0,2
15,196200000.0,1,0.0,4144518.046157042,134400000,30.903980349472363,135.0,2
16,196200000.0,1,0.0,4166016.982635794,183200000,29.181224463512795,136.0,2
17,196200000.0,1,0.0,4187515.9191145473,232000000,29.655003793592673,137.0,2
18,196200000.0,1,0.0,4209014.855593299,280800000,30.1647758097814,138.0,2
19,196200000.0,1,0.0,4230513.792072052,329600000,30.69987808486531,139.0,2
20,196200000.0,1,0.0,4252380.55849763,378400000,31.253385521251555,140.0,2
21,196200000.0,1,0.0,4272286.872143764,427200000,31.82127489385415,141.0,2
22,196200000.0,1,0.0,4290735.568848122,476000000,32.400246468487076,142.0,2
23,196200000.0,1,0.0,4304800.584996923,524800000,32.98864172436846,143.0,2
24,196200000.0,1,0.0,4317563.517812392,573600000,33.584102806069,144.0,2
25,196200000.0,1,0.0,4330326.45062786,622400000,34.18509949892901,145.0,2
26,196200000.0,1,0.0,4341249.251882645,671200000,31.076779248240786,146.0,2
27,196200000.0,1,0.0,4351236.97365301,720000000,31.543897432872836,147.0,2
28,196200000.0,1,0.0,4358793.832941472,768800000,32.01475230875795,148.0,2
29,196200000.0,1,0.0,4364180.757958609,817600000,32.48879068729456,149.0,2
30,196200000.0,1,0.0,4369567.682975746,866400000,32.96515922557588,150.0,2
31,196200000.0,1,0.0,4375249.806667846,915200000,33.44337135447762,151.0,2
32,196200000.0,1,0.0,4380931.930359944,964000000,33.92334857651003,152.0,2
33,196200000.0,1,0.0,4386614.054052044,1012800000,34.40487480869459,153.0,2
34,196200000.0,1,0.0,4392296.177744142,1061600000,34.887768274491485,154.0,2
35,196200000.0,1,0.0,4397978.301436242,1110400000,35.37187493287511,155.0,2
36,196200000.0,1,0.0,4403660.425128339,1159200000,35.857063363433454,156.0,2
37,196200000.0,1,0.0,4409342.548820439,1208000000,36.34322074437932,157.0,2
38,196200000.0,1,0.0,4415025.458506169,1256800000,31.40167823173084,158.0,2
39,196200000.0,1,0.0,4420699.222930472,1305600000,31.746638978765557,159.0,2
40,196200000.0,1,0.0,4424591.667061648,1354400000,32.092698021257114,160.0,2
41,196200000.0,1,0.0,4428484.111192824,1403200000,32.439395559688485,161.0,2
42,196200000.0,1,0.0,4432376.555324001,1452000000,32.786675052366384,162.0,2
43,196200000.0,1,0.0,4436268.999455176,1500800000,33.13448654506329,163.0,2
44,196200000.0,1,0.0,4440161.443586353,1549600000,33.48278573411534,164.0,2
45,196200000.0,1,0.0,4444053.887717529,1598400000,33.83153318525515,165.0,2
46,196200000.0,1,0.0,4448102.786086596,1647200000,34.18062605176423,166.0,2
47,196200000.0,1,0.0,4452151.684455661,1696000000,34.53010312486277,167.0,2
48,196200000.0,1,0.0,4456200.5828247275,1744800000,34.879935921234065,168.0,2
49,196200000.0,1,0.0,4460249.481193794,1793600000,35.230098762524,169.0,2
50,196200000.0,1,0.0,4464298.37956286,1842400000,35.580568435667985,170.0,2
51,196200000.0,1,0.0,4468347.277931926,1891200000,35.93132390156162,171.0,2
52,196200000.0,1,0.0,4472393.413963846,1940000000,36.28234664946657,172.0,2
53,196200000.0,1,0.0,4474011.654468574,1988800000,36.63414586276783,173.0,2
54,196200000.0,1,0.0,4475629.894973302,2037600000,36.98616908821761,174.0,2
55,196200000.0,1,0.0,4477248.135478028,2086400000,37.3384020363294,175.0,2
56,196200000.0,1,0.0,4478866.375982757,2135200000,37.690831621001095,176.0,2
57,196200000.0,1,0.0,4480484.6164874835,2184000000,38.0434458348592,177.0,2
58,196200000.0,1,0.0,4482149.003260153,2232800000,38.39621811305551,178.0,2
59,196200000.0,1,0.0,4483813.390032823,2281600000,38.74915442574399,179.0,2
60,196200000.0,1,0.0,4485477.776805493,2330400000,39.102245369070204,180.0,2
61,196200000.0,1,0.0,4487142.163578164,2379200000,39.455482253139216,181.0,2
62,196200000.0,1,0.0,4489142.7902173465,2428000000,39.808752915133255,182.0,2
63,196200000.0,1,0.0,4491143.416856531,2476800000,40.162158617761975,183.0,2
64,196200000.0,1,0.0,4493144.043495716,2525600000,40.51569221330601,184.0,2
65,196200000.0,1,0.0,4495144.6701349,2574400000,40.869347054519025,185.0,2
66,196200000.0,1,0.0,4497145.296774085,2623200000,41.22311695133486,186.0,2
67,196200000.0,1,0.0,4499145.923413269,2672000000,41.57699613200903,187.0,2
68,196200000.0,1,0.0,4501146.550052454,2720800000,41.930979208172225,188.0,2
69,196200000.0,1,0.0,4503147.176691637,2769600000,42.28506114334261,189.0,2
