t,secure_bps,violations,k_min,k_mean,q_total,aos_mean,aos_max,rekey,q_sumsq,z_l1,z_sumsq,z_max,lyapunov,key_inflow,key_overflow,cg_iters,cg_columns,cg_converged,obj_lp,obj_greedy,key_blocked_edges
0,245000000.0,0,2109375.0,2425130.2083333335,0,0.8811589100178921,0.9476988686844755,0,0.0,2695312.5,782012939453.125,390625.0,78201293945312.5,0.0,0.0,0,0,1,0.0,0.0,0
1,245000000.0,0,1718750.0,2350260.4166666665,0,1.9895459465001724,2.1629597325192615,0,0.0,5390625.0,3128051757812.5,781250.0,312805175781250.0,0.0,0.0,0,0,1,0.0,0.0,0
2,245000000.0,0,1328125.0,2275390.625,0,3.1457070394308886,3.5047493651838613,0,0.0,8085937.5,7038116455078.125,1171875.0,703811645507812.5,0.0,0.0,0,0,1,0.0,0.0,0
3,245000000.0,0,937500.0,2200520.8333333335,0,4.403834662756154,5.131060202450719,0,0.0,10781250.0,12512207031250.0,1562500.0,1251220703125000.0,0.0,0.0,0,0,1,0.0,0.0,0
4,245000000.0,0,546875.0,2127692.818071016,0,4.61377441654072,7.650467716176135,0,0.0,13403058.549443431,19350686829211.863,1953125.0,1935068682921186.2,73503.95055656828,2.0372681319713593e-10,0,0,1,0.0,0.0,0
5,245000000.0,0,156250.0,2054864.8028086983,0,7.989515861383812,17.71860095389507,0,0.0,16024867.098886862,27675498975532.44,2343750.0,2767549897553244.0,73503.95055656828,2.0372681319713593e-10,0,0,1,0.0,0.0,0
6,185000000.0,1,0.0,2008078.4542130472,60000000,30.841450256024586,126.0,2,3600000000000000.0,17709175.648330294,32631099372946.82,2500000.0,5063109937294682.0,73503.95055656828,2.0372681319713593e-10,0,0,1,0.0,0.0,0
7,305000000.0,0,0.0,1909208.7722840633,0,7.3770672066567045,10.194888178913738,0,0.0,21268484.197773725,38030380189641.16,2500000.0,3803038018964115.5,73503.95055656828,2.0372681319713593e-10,0,0,1,0.0,0.0,0
8,245000000.0,0,0.0,1837087.6524258205,0,10.467666337477548,33.27646129541864,0,0.0,23864844.512670465,44390568167463.586,2500000.0,4439056816746358.5,98952.18510325966,3.637978807091713e-11,0,0,1,0.0,0.0,0
9,156482891.0356987,2,0.0,1785380.6896546446,88517109,30.525322487424763,129.0,3,5094594220825934.0,25726295.17243279,48683150641536.47,2500000.0,7415612174566614.0,98952.18510325966,5.093170329928398e-11,0,0,1,0.0,0.0,0
10,105000000.0,0,0.0,1765592.9887917368,228517109,7.598837634169731,15.672753057968446,0,3.199801601368619e+16,26440903.174455486,50761749126491.086,2500000.0,2.1075182919492204e+16,107955.2689353202,3.637978807091713e-11,0,0,1,0.0,0.0,0
11,105000000.0,0,0.0,1745805.2879288292,368517109,9.699034110966355,23.71860095389507,0,8.210143780654645e+16,27155511.17647818,53059138513389.51,2500000.0,4.635663275461218e+16,107955.2689353202,0.0,0,0,1,0.0,0.0,0
12,113998819.53982586,2,0.0,1715818.7028169027,499518289,38.70894314091288,132.0,3,1.5054614527216234e+17,28237279.011465542,56004965852914.61,2500000.0,8.087356922137262e+16,107955.2689353202,0.0,0,0,1,0.0,0.0,0
13,111814650.42213306,1,0.0,1682752.0874656874,632703639,22.908198686144786,120.0,1,2.4543980795376976e+17,29429927.93506731,58529617757707.086,2500000.0,1.2857286575265558e+17,127018.26020207719,1.127773430198431e-10,0,0,1,0.0,0.0,0
14,55000000.0,0,0.0,1674344.608582412,822703639,5.629302224045579,15.930210815212474,0,3.664418591412306e+17,29734847.94582325,59325683921727.77,2500000.0,1.8915349796278806e+17,127018.26020207719,1.0550138540565968e-10,0,0,1,0.0,0.0,0
15,73998819.53982586,1,0.0,1653568.1065612286,993704819,19.549853122257765,120.0,1,5.120840658010308e+17,30485052.789543852,60946752648143.11,2500000.0,2.621367081653297e+17,127018.26020207719,1.418811734765768e-10,0,0,1,0.0,0.0,0
16,73998819.53982586,1,0.0,1636914.6122526815,1164705999,24.879281884173977,120.0,1,6.828484188406797e+17,31086829.35560957,62609377002252.805,2500000.0,3.476851471205651e+17,127018.26020207719,1.6916601452976465e-10,0,0,1,0.0,0.0,0
17,55000000.0,0,0.0,1628507.133369406,1354705999,7.559525519036279,19.989655666549208,0,8.846507061201754e+17,31391749.366365507,63661611814082.516,2500000.0,4.4869151424149594e+17,127018.26020207719,1.6916601452976465e-10,0,0,1,0.0,0.0,0
18,73998819.53982586,1,0.0,1607730.631348223,1525707180,21.610837833374664,120.0,1,1.1068373235856902e+18,32141954.21008611,65644182665657.86,2500000.0,5.599830800594109e+17,127018.26020207719,1.1641532182693481e-10,0,0,1,0.0,0.0,0
19,73998819.53982586,1,0.0,1591077.1370396754,1696708360,27.858977013798228,120.0,1,1.3541460874310536e+18,32743730.77615183,67607037574791.77,2500000.0,6.83833747473006e+17,127018.26020207719,6.366462912410498e-11,0,0,1,0.0,0.0,0
20,55000000.0,0,0.0,1582669.6581563996,1886708360,15.253264273202877,26.627114449500954,0,1.6367486108025843e+18,33048650.786907766,68915441034430.51,2500000.0,8.252658495047352e+17,127018.26020207719,6.366462912410498e-11,0,0,1,0.0,0.0,0
21,64979102.509477824,2,0.0,1563850.56000465,2066729258,36.36802526782238,120.0,2,1.935560994369121e+18,33728389.09132878,70931260548446.94,2500000.0,9.748736232394052e+17,127018.26020207719,2.7284841053187847e-11,0,0,1,0.0,0.0,0
22,83018536.57017389,1,0.0,1536771.8412905696,2228710721,29.282267554711353,120.0,2,2.2593328137248916e+18,34703222.96503567,73236738091808.16,2500000.0,1.1369900806716266e+18,127018.26020207719,2.7284841053187847e-11,0,0,1,0.0,0.0,0
23,30000000.0,0,0.0,1527279.2929628496,2443710721,4.091962631102254,12.67325199077417,0,2.623360573188457e+18,35044954.70483359,73708517124283.44,2500000.0,1.3190511383066568e+18,127018.26020207719,2.7284841053187847e-11,0,0,1,0.0,0.0,0
24,48998819.53982586,1,0.0,1505417.7214972218,2639711902,23.963413411296667,120.0,1,2.994362661854359e+18,35831971.27759618,75254909199788.9,2500000.0,1.5047068218471585e+18,127018.26020207719,2.7284841053187847e-11,0,0,1,0.0,0.0,0
25,41808748.12126246,2,0.0,1490819.1496816594,2842903154,40.50129940777978,120.0,2,3.3975950105411384e+18,36357519.862956434,76436177314129.88,2500000.0,1.7064411230019822e+18,127713.10403447508,2.610249794088304e-10,0,0,1,0.0,0.0,0
26,0.0,0,0.0,1494366.7359048394,3087903154,0.0,0.0,0,3.8478843867726484e+18,36229806.75892196,75876865073611.31,2500000.0,1.9315298798936852e+18,127713.10403447508,2.7057467377744615e-10,0,0,1,0.0,0.0,0
27,18998819.539825857,1,0.0,1485545.2992579185,3313904334,31.20929574642099,120.0,1,4.303110285804752e+18,36547378.478211105,76351134717686.69,2500000.0,2.1591902563741445e+18,127713.11367552234,2.632987161632627e-10,0,0,1,0.0,0.0,0
28,38965931.38863881,2,0.0,1472390.7220188072,3519938403,41.71108310784051,120.0,2,4.787185404959014e+18,37020943.258819096,77461315049105.9,2500000.0,2.4013388339844173e+18,135277.8973394841,2.778506313916296e-10,0,0,1,0.0,0.0,0
29,13634172.00220434,1,0.0,1467272.0273254137,3751304231,31.911611906459346,120.0,1,5.305967648719487e+18,37205216.26778128,77638827225518.64,2500000.0,2.6607477070822953e+18,135277.8973394841,2.632987161632627e-10,0,0,1,0.0,0.0,0
30,27268344.00440868,2,0.0,1459194.5279440414,3969035887,42.53015914759138,120.0,2,5.85303862870537e+18,37496006.24551068,78281116258743.31,2500000.0,2.9343474259785595e+18,135277.8973394841,2.632987161632627e-10,0,0,1,0.0,0.0,0
31,13634172.00220434,1,0.0,1454075.8332506474,4200401715,32.61425500268042,120.0,1,6.429238984957332e+18,37680279.25447286,78484880724286.45,2500000.0,3.222467980551095e+18,135277.8973394841,2.6329871703062446e-10,0,0,1,0.0,0.0,0
32,27268344.00440868,2,0.0,1448957.1385572536,4418133371,76.98587334700714,120.0,3,7.031918391206725e+18,37864552.263435036,79085643757357.77,2500000.0,3.523867759979098e+18,135277.8973394841,2.6329871703062446e-10,0,0,1,0.0,0.0,0
33,13634172.00220434,1,0.0,1443839.0397989063,4649499199,33.322216047397845,120.0,1,7.665536859950176e+18,38048803.81873554,79316066318083.77,2500000.0,3.8407000366068966e+18,135299.35100116066,2.896740633820394e-10,0,0,1,0.0,0.0,0
34,27268344.00440868,2,0.0,1435762.1363525805,4867230855,44.16648890707834,120.0,2,8.323824692463076e+18,38339572.34280327,80015017031787.25,2500000.0,4.169913847934717e+18,135299.35100116066,2.896740633820394e-10,0,0,1,0.0,0.0,0
35,13634172.00220434,1,0.0,1430644.0375942332,5098596683,34.03709248951762,120.0,1,9.014861273698018e+18,38523823.89810377,80271691126131.52,2500000.0,4.5154578059616225e+18,135299.35100116066,2.896740633820394e-10,0,0,1,0.0,0.0,0
36,27268344.00440868,2,0.0,1422567.1341479076,5316328339,45.01952399816679,120.0,2,9.728757532474427e+18,38814592.422171496,81007277180653.73,2500000.0,4.872479493955279e+18,135299.35100116066,2.896740633820394e-10,0,0,1,0.0,0.0,0
37,13634172.00220434,1,0.0,1417732.6048687533,5547694167,34.7609884456378,120.0,1,1.0477212226200859e+19,38988635.476221055,81262221983411.81,2500000.0,5.246732335298771e+18,145507.8522521066,2.678461905394891e-10,0,0,1,0.0,0.0,0
38,27268344.00440868,2,0.0,1409939.2709016206,5765425823,45.892034307844085,120.0,2,1.1246716911240776e+19,39269195.49903783,82006172593013.64,2500000.0,5.631559072879689e+18,145507.8522521066,2.678461905394891e-10,0,0,1,0.0,0.0,0
39,13634172.00220434,1,0.0,1405104.7416224661,5996791651,35.49755230188493,120.0,1,1.2052589717458698e+19,39443238.55308739,82286789008320.66,2500000.0,6.034523537630181e+18,145507.8522521066,2.6784618967212737e-10,0,0,1,0.0,0.0,0
40,26497884.03324937,2,0.0,1400437.412857886,6215293767,81.43127932060752,120.0,3,1.2878251838973583e+19,39611262.38861226,82916999336637.25,2500000.0,6.447417619420455e+18,145507.8522521066,2.6830093789037557e-10,0,0,1,0.0,0.0,0
41,13634172.00220434,1,0.0,1395602.8835787317,6446659595,36.253116354704964,120.0,1,1.3741588985281264e+19,39785305.44266182,83223973762994.19,2500000.0,6.879116890016931e+18,145507.8522521066,2.6466295908328386e-10,0,0,1,0.0,0.0,0
42,28038803.97556799,2,0.0,1388122.7106576886,6663620791,42.43038365563278,120.0,2,1.4621715285038467e+19,40060419.726496525,84000793311605.84,2500000.0,7.319257721850395e+18,168820.0869606943,2.846718425222883e-10,0,0,1,0.0,0.0,0
43,13634172.00220434,1,0.0,1383935.7434537725,6894986619,22.69080211426564,120.0,1,1.5542424316239366e+19,40216978.604514636,84271265989022.27,2500000.0,7.779639284718585e+18,168820.0869606943,2.846718425222883e-10,0,0,1,0.0,0.0,0
44,27268344.00440868,2,0.0,1376789.9715618785,7112718275,43.157261375682126,120.0,2,1.6478754280069808e+19,40480054.45129997,85045421831761.75,2500000.0,8.24788168221808e+18,168820.0869606943,2.855813372240612e-10,0,0,1,0.0,0.0,0
45,13634172.00220434,1,0.0,1372603.0043579629,7344084103,22.833053497763164,120.0,1,1.7456881423762199e+19,40636613.32931809,85337628206933.83,2500000.0,8.736974474701792e+18,168820.0869606943,2.8830982132938e-10,0,0,1,0.0,0.0,0
46,27268344.00440868,2,0.0,1365457.2324660686,7561815759,43.96476461285561,120.0,2,1.844881981385615e+19,40899689.17610343,86145143128917.6,2500000.0,9.233024421240967e+18,168820.0869606943,2.8830982132938e-10,0,0,1,0.0,0.0,0
47,13634172.00220434,1,0.0,1361270.2652621525,7793181587,23.042484687857453,120.0,1,1.9484365070040027e+19,41056248.05412155,86459083201845.31,2500000.0,9.750828443340198e+18,168820.0869606943,2.514752859075764e-10,0,0,1,0.0,0.0,0
48,27268344.00440868,2,0.0,1357083.2980582367,8010913243,78.72500590608563,120.0,3,2.053191188639749e+19,41212806.932139665,87137440070091.02,2500000.0,1.0274669687205753e+19,168820.0869606943,2.514752859075764e-10,0,0,1,0.0,0.0,0
49,13634172.00220434,1,0.0,1352896.330854321,8242279071,23.390038785593134,120.0,1,2.162487525507286e+19,41369365.810157776,87473594869748.58,2500000.0,1.0821184987023403e+19,168820.0869606943,2.478373071004847e-10,0,0,1,0.0,0.0,0
50,27062019.19435084,2,0.0,1348754.13899981,8460217052,61.149203482123305,120.0,3,2.2728670450371334e+19,41524312.77559732,87979350319408.58,2500000.0,1.1373133160217608e+19,168820.0869606943,2.8740032662760706e-10,0,0,1,0.0,0.0,0
