t,secure_bps,violations,k_min,k_mean,q_total,aos_mean,aos_max,rekey
0,245000000.0,0,2334375.0,2650672.7430555555,0,0.790524255815054,0.8563935128191404,0
1,245000000.0,0,2143750.0,2776345.486111111,0,1.7926687303078261,1.93250961650542,0
2,245000000.0,0,1953125.0,2902018.2291666665,0,2.7988313713404955,3.0234759802980875,0
3,245000000.0,0,1762500.0,3027690.972222222,0,3.8099672250225276,4.134108307343351,0
4,245000000.0,0,1571875.0,3153363.715277778,0,4.827541065272918,5.271556862433442,0
5,245000000.0,0,1381250.0,3279036.4583333335,0,5.853870906830587,6.446916259721469,0
6,245000000.0,0,1190625.0,3404709.201388889,0,6.89280287273898,7.678380362949754,0
7,245000000.0,0,1000000.0,3530381.9444444445,0,7.951158727409575,8.998001998001998,0
8,245000000.0,0,809375.0,3656054.6875,0,9.042227977573367,10.467993213018664,0
9,245000000.0,0,618750.0,3781735.1189011484,0,8.909990088853851,12.227107704719645,0
10,245000000.0,0,428125.0,3907426.2257872988,0,9.351189387983206,14.66064666472473,0
11,245000000.0,0,237500.0,4033117.3326734495,0,10.926351514988037,19.38574423480084,0
12,245000000.0,0,46875.0,4082458.71760452,0,18.67709502118541,53.775456919060055,3
13,208200000.0,1,0.0,4097973.4816148155,36800000,36.399908779736016,133.0,3
14,196200000.0,1,0.0,4117394.4956251117,85600000,37.17826156295833,134.0,3
15,196200000.0,1,0.0,4136815.509635407,134400000,37.95691011537769,135.0,3
16,196200000.0,1,0.0,4156236.523645704,183200000,36.45012150044344,136.0,3
17,196200000.0,1,0.0,4175657.5376559994,232000000,36.13880863263993,137.0,3
18,196200000.0,1,0.0,4195078.551666295,280800000,35.74620604465384,138.0,3
19,196200000.0,1,0.0,4214499.565676592,329600000,35.59865191431141,139.0,3
20,196200000.0,1,0.0,4233921.869695333,378400000,35.61806268764178,140.0,3
21,196200000.0,1,0.0,4253344.173714075,427200000,35.756361495389406,141.0,3
22,196200000.0,1,0.0,4272766.477732817,476000000,35.98232555985665,142.0,3
23,196200000.0,1,0.0,4285581.84960536,524800000,36.27618571208399,143.0,3
24,196200000.0,1,0.0,4296472.940700147,573600000,36.622042598587086,144.0,3
25,196200000.0,1,0.0,4307364.0317949345,622400000,37.00875813222872,145.0,3
26,196200000.0,1,0.0,4318418.99576358,671200000,33.71405615073594,146.0,3
27,196200000.0,1,0.0,4329473.959732224,720000000,34.01769684082268,147.0,3
28,196200000.0,1,0.0,4336637.281056751,768800000,34.34445590240854,148.0,3
29,196200000.0,1,0.0,4340721.051547613,817600000,34.690497541253805,149.0,2
30,196200000.0,1,0.0,4344804.822038476,866400000,35.05228075456062,150.0,2
31,196200000.0,1,0.0,4349183.7912043,915200000,35.427283836294215,151.0,2
32,196200000.0,1,0.0,4353562.760370125,964000000,35.81384211501537,152.0,2
33,196200000.0,1,0.0,4357941.729535949,1012800000,36.2104118485444,153.0,2
34,196200000.0,1,0.0,4362320.698701774,1061600000,36.61571296609733,154.0,2
35,196200000.0,1,0.0,4366699.667867598,1110400000,37.0286750608036,155.0,2
36,196200000.0,1,0.0,4371078.6370334225,1159200000,37.448396135644785,156.0,2
37,196200000.0,1,0.0,4375457.606199246,1208000000,37.8741107222358,157.0,2
38,196200000.0,1,0.0,4380097.302111781,1256800000,32.87659355005041,158.0,2
39,196200000.0,1,0.0,4384736.998024316,1305600000,31.823245567317933,159.0,2
40,196200000.0,1,0.0,4389376.693936851,1354400000,29.794740033884235,160.0,2
41,196200000.0,1,0.0,4394016.389849384,1403200000,28.902821617967792,161.0,2
42,196200000.0,1,0.0,4398656.085761918,1452000000,28.481671728278645,162.0,2
43,196200000.0,1,0.0,4403295.781674453,1500800000,28.30141082174194,163.0,1
44,196200000.0,1,0.0,4407935.477586987,1549600000,28.261406724785267,164.0,1
45,196200000.0,1,0.0,4412575.173499522,1598400000,28.310574862768807,165.0,1
46,196200000.0,1,0.0,4417267.971542696,1647200000,28.420155218975303,166.0,1
47,196200000.0,1,0.0,4421960.76958587,1696000000,28.572758950762044,167.0,1
48,196200000.0,1,0.0,4426653.567629044,1744800000,28.757188499327498,168.0,1
49,196200000.0,1,0.0,4431346.365672218,1793600000,28.96590584325196,169.0,1
50,196200000.0,1,0.0,4436039.163715392,1842400000,29.19364111657427,170.0,1
51,196200000.0,1,0.0,4439545.845782472,1891200000,29.436850002219025,171.0,1
52,196200000.0,1,0.0,4442823.788044251,1940000000,29.692502670810285,172.0,1
53,196200000.0,1,0.0,4443774.464600727,1988800000,29.95891864077085,173.0,1
54,196200000.0,1,0.0,4444725.141157204,2037600000,30.23393300916186,174.0,1
55,196200000.0,1,0.0,4445675.817713681,2086400000,30.516247418474844,175.0,1
56,196200000.0,1,0.0,4446626.494270157,2135200000,30.804824815513506,176.0,1
57,196200000.0,1,0.0,4447577.170826634,2184000000,31.098825546745456,177.0,1
58,196200000.0,1,0.0,4448540.092827493,2232800000,31.39755504234566,178.0,1
59,196200000.0,1,0.0,4449503.014828353,2281600000,31.700449778309444,179.0,1
60,196200000.0,1,0.0,4450465.936829213,2330400000,32.00703273699086,180.0,1
61,196200000.0,1,0.0,4451428.858830071,2379200000,32.3169012224897,181.0,1
62,196200000.0,1,0.0,4452728.020697445,2428000000,32.62954386412143,182.0,1
63,196200000.0,1,0.0,4454027.182564819,2476800000,32.944840390176935,183.0,1
64,196200000.0,1,0.0,4455326.344432194,2525600000,33.26253696259101,184.0,1
65,196200000.0,1,0.0,4456625.5062995665,2574400000,33.582413065836306,185.0,1
66,196200000.0,1,0.0,4457924.668166941,2623200000,33.90427602591176,186.0,1
67,196200000.0,1,0.0,4459223.830034315,2672000000,34.22795659669162,187.0,1
68,196200000.0,1,0.0,4460522.991901688,2720800000,34.55330537638677,188.0,1
69,196200000.0,1,0.0,4461822.153769062,2769600000,34.88018987559484,189.0,1
